,x,Lives in a communal establishment,Density,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,Dependent children in household: All ages,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
1,E07000092,2.00,24.00,80.50,0.80,0.20,3.30,0.70,0.40,0.70,0.50,1.40,0.70,0.20,0.50,7.60,1.20,0.60,0.20,0.10,0.50,34.50,33.00,49.50,0.20,2.80,9.10,5.30,8.30,15.80,62.20,13.80,0.00,0.00,0.00,0.00,0.00,13.40,49.40,8.00,3.70,3.20,9.80,3.80,4.00,2.70,2.00,1.10,0.80,0.50,1.40,8.30,15.80,62.20,13.80
2,E07000089,1.80,4.20,90.70,0.70,0.30,3.20,0.30,0.20,0.80,0.30,1.00,0.20,0.10,0.50,0.90,0.30,0.20,0.10,0.10,0.20,32.80,25.60,58.20,0.10,2.20,7.90,6.00,10.40,16.30,56.10,17.30,0.00,0.00,0.00,0.00,0.00,13.90,45.30,11.30,2.40,2.60,14.30,3.30,4.40,1.30,1.20,0.60,0.60,0.20,0.80,10.40,16.30,56.10,17.30
3,E08000030,0.70,25.90,76.90,0.40,0.10,1.40,1.60,0.10,0.70,0.30,6.10,5.30,1.90,0.40,1.50,0.70,1.20,0.40,0.10,0.70,32.00,32.90,48.20,0.10,2.70,8.30,7.90,8.80,21.20,59.50,10.50,0.00,0.00,0.00,0.00,0.00,14.00,35.30,7.30,6.80,2.70,15.00,5.00,5.80,5.20,2.90,2.10,1.10,1.40,3.00,8.80,21.20,59.50,10.50
4,E08000009,0.60,21.40,80.40,2.20,0.00,2.90,1.20,0.30,0.70,0.50,2.80,3.10,0.20,1.00,0.90,0.80,1.70,0.40,0.60,0.40,31.50,33.20,48.60,0.20,2.40,8.50,7.10,8.90,19.00,60.20,11.90,0.00,0.00,0.00,0.00,0.00,14.00,41.90,9.70,3.80,3.10,13.30,4.40,3.90,4.00,1.80,1.00,0.70,0.50,1.50,8.90,19.00,60.20,11.90
5,E07000032,0.90,4.60,96.50,0.30,0.00,1.30,0.40,0.10,0.20,0.10,0.30,0.10,0.00,0.20,0.20,0.10,0.10,0.00,0.00,0.10,27.50,28.80,50.70,0.30,2.30,10.00,7.80,9.30,19.40,58.20,13.10,0.00,0.00,0.00,0.00,0.00,14.80,40.00,9.00,3.90,2.20,17.40,3.40,3.80,4.10,1.50,1.20,0.70,0.50,1.60,9.30,19.40,58.20,13.10
6,E07000227,2.00,2.50,92.20,0.70,0.20,3.00,0.30,0.20,0.60,0.30,0.60,0.10,0.20,0.40,0.80,0.30,0.10,0.00,0.10,0.10,28.30,26.10,55.30,0.20,2.20,8.80,7.30,11.50,18.50,54.10,15.90,0.00,0.00,0.00,0.00,0.00,14.80,40.30,12.90,2.70,2.70,15.50,3.50,4.20,2.20,1.30,0.70,0.70,0.20,1.00,11.50,18.50,54.10,15.90
7,E07000228,1.80,4.20,90.30,0.90,0.10,3.80,0.30,0.20,0.60,0.40,1.00,0.10,0.30,0.40,0.90,0.30,0.10,0.10,0.10,0.20,29.70,28.00,53.60,0.20,2.30,8.70,7.10,10.60,18.80,55.90,14.80,0.00,0.00,0.00,0.00,0.00,15.10,42.20,12.40,2.40,2.60,14.20,3.60,4.00,2.00,1.40,0.60,0.60,0.20,0.80,10.60,18.80,55.90,14.80
8,E07000224,2.50,6.80,91.60,0.60,0.10,4.70,0.30,0.10,0.40,0.20,0.30,0.10,0.20,0.30,0.50,0.20,0.10,0.00,0.00,0.10,23.20,26.80,50.00,0.30,2.60,10.50,9.90,11.00,20.80,55.00,13.20,0.00,0.00,0.00,0.00,0.00,14.80,35.50,11.20,3.30,2.70,20.40,3.10,3.70,3.50,1.80,0.90,0.80,0.30,1.40,11.00,20.80,55.00,13.20
9,E07000225,2.60,1.40,93.00,0.70,0.20,3.10,0.20,0.10,0.30,0.30,0.40,0.00,0.10,0.30,0.60,0.30,0.10,0.10,0.10,0.10,23.70,27.10,52.20,0.20,2.30,9.30,8.90,12.60,19.90,51.00,16.50,0.00,0.00,0.00,0.00,0.00,14.00,34.40,14.50,2.80,3.50,18.20,4.40,4.20,2.40,1.50,0.80,0.70,0.20,1.10,12.60,19.90,51.00,16.50
10,E07000170,1.10,10.90,96.00,0.30,0.00,1.30,0.50,0.10,0.20,0.20,0.30,0.10,0.10,0.20,0.30,0.20,0.20,0.10,0.00,0.10,29.70,31.10,48.30,0.20,2.80,10.10,7.40,8.30,20.20,60.50,11.00,0.00,0.00,0.00,0.00,0.00,14.70,39.50,7.00,4.70,2.20,16.50,3.30,4.50,5.60,1.90,1.60,0.80,0.80,1.90,8.30,20.20,60.50,11.00
