"","area","male.le.1991","male.le.1992","male.le.1993","male.le.1994","male.le.1995","male.le.1996","male.le.1997","male.le.1998","male.le.1999","male.le.2000","male.le.2001","male.le.2002","male.le.2003","male.le.2004","male.le.2005","male.le.2006","male.le.2007","male.le.2008","male.le.2009","male.le.2010","female.le.1991","female.le.1992","female.le.1993","female.le.1994","female.le.1995","female.le.1996","female.le.1997","female.le.1998","female.le.1999","female.le.2000","female.le.2001","female.le.2002","female.le.2003","female.le.2004","female.le.2005","female.le.2006","female.le.2007","female.le.2008","female.le.2009","female.le.2010"
"1","E06000001",71.7,71.9,72.1,72.2,72.5,72.5,72.9,73,73.4,73.1,73.4,73.4,74.2,74.5,75.1,75.3,75.5,76.1,76.6,77.4,77.4,77.5,77.6,77.9,77.8,78,78.1,78.9,79.1,79.1,78.4,78.2,78.3,78.4,78.2,79.1,80,81.2,81.2,81.5
"2","E06000002",70.8,71.2,71.5,71.6,72.1,72.6,73.1,73.2,73.2,73.5,73.7,74,74,74.4,74.8,75.2,75.4,75.7,75.8,76.3,76.7,77.2,77.7,77.9,78.2,78.4,78.6,78.6,78.7,78.2,78.1,77.9,78.6,79.1,79.5,79.6,79.6,79.9,80.1,80.2
"3","E06000003",72.4,72.5,72.3,73,73.1,73.4,73.7,74.2,74.9,75.1,75.1,74.9,75.1,75.9,76.6,77,77.5,78,78.4,78.7,77.4,78,78.1,78.6,78.8,79.4,79.2,79.2,79.1,79.5,79.6,80,80.2,80.4,80.6,80.8,81.5,81.6,82,82
"4","E06000004",72.2,72.6,73,73.1,73.4,73.7,74.2,74.6,74.8,75.2,75.3,75.4,75.6,75.8,76.3,76.2,76.7,77.3,78,78.3,77.3,77.8,78.1,78.4,78.5,78.4,78.5,78.9,79.3,79.7,79.7,79.9,79.9,80.2,80.7,80.8,81.1,81.6,81.9,82.3
"5","E06000005",72.1,72.8,73.2,73.6,73.7,73.4,73.5,73.9,74.3,74.5,74.8,74.8,75.3,75.3,76.4,76.5,76.8,77.3,78,78.7,76.7,77.3,78.1,78.5,79.1,79.2,79.4,79,78.9,79.1,79.6,79.9,80,80,80.4,80.5,80.9,81.6,82.4,82.7
"6","E06000006",71.9,72.7,72.7,72.6,72.1,72.1,72.7,73.6,73.7,73.7,73.9,74.2,74.5,74.4,74.7,75,75.4,75.9,76.5,77.1,77.8,77.8,77.3,77.3,77,76.9,77,77.4,77.9,78,78.2,78.2,78.4,78.5,78.8,79.1,79.6,80.1,80.7,80.6
"7","E06000007",72.4,72.7,72.9,73.3,73.6,74,74.6,74.9,75.3,75.5,75.7,75.8,76,76.2,76.3,76.7,77.5,77.9,78.1,78.2,77.9,78,78.5,78.4,78.8,78.7,79.1,79.1,79.5,79.9,80,80.4,80.7,81,80.7,80.6,81.1,81.6,82,82
"8","E06000008",71.3,71.7,72.2,72.2,71.5,71.5,72,72.5,73.1,73.1,74,74,74.5,74.4,74.4,74.7,74.9,75.4,75.7,76.5,77,77.3,77.6,77.9,77.6,77.3,77.1,77.6,77.8,78,77.7,78.2,78.5,79.3,79.4,79.7,79.6,80,80.5,80.9
"9","E06000009",71.6,71.5,71,71.5,71.6,72.1,72.2,72.2,72,71.7,72,72.8,73.2,73.4,73.2,73.7,73.8,73.8,73.8,74,78.3,78.6,78,77.7,77.3,77.4,77.9,78.2,78.4,78.4,78.4,78.4,78.8,78.8,79.1,78.9,79.6,79.6,80,80
"10","E06000010",72.6,72.9,72.8,72.7,72.9,72.7,72.9,73,73.4,73.7,73.7,74.3,74.3,74.6,74.7,74.8,75,75.5,75.9,76.6,78.1,78.1,78.1,78.1,78.2,78.1,78.4,78.5,79.3,79.3,79.4,79.1,78.9,78.9,79,79.5,79.9,80.2,80.4,80.5
"11","E06000011",74.7,74.7,74.8,74.9,75.2,75.3,75.7,76.1,76.8,77.1,77.2,77.4,77.6,78,78.5,78.7,79.1,79,79.4,79.6,79.6,79.9,79.8,79.9,80,80.1,80,80.2,80.6,81.2,81.1,81.1,81.1,81.7,81.9,82.3,82.4,82.8,83,82.9
