"","area","male.le","female.le"
"1","E06000001",77.4,81.5
"2","E06000002",76.3,80.2
"3","E06000003",78.7,82
"4","E06000004",78.3,82.3
"5","E06000005",78.7,82.7
"6","E06000006",77.1,80.6
"7","E06000007",78.2,82
"8","E06000008",76.5,80.9
"9","E06000009",74,80
"10","E06000010",76.6,80.5
"11","E06000011",79.6,82.9
"12","E06000012",77.9,81.9
"13","E06000013",78.3,82.8
"14","E06000014",79.6,83.2
"15","E06000015",78.6,82.8
"16","E06000016",77,81.8
"17","E06000017",81,84.7
"18","E06000018",76.9,81.5
"19","E06000019",79.7,83.7
"20","E06000020",77.9,81.6
"21","E06000021",76.7,80.5
"22","E06000022",80.6,84.4
"23","E06000023",78.3,83
"24","E06000024",79.6,83.5
"25","E06000025",81,84.6
"26","E06000026",78.3,82.1
"27","E06000027",79.1,82.4
"28","E06000028",78.6,83.1
"29","E06000029",80.2,84.1
"30","E06000030",79.3,82.7
"31","E06000031",77.9,82.5
"32","E06000032",78,82.1
"33","E06000033",79.7,82.6
"34","E06000034",79.2,82.4
"35","E06000035",78.5,82.2
"36","E06000036",80.8,84
"37","E06000037",80.8,84.6
"38","E06000038",78.4,82.7
"39","E06000039",78.5,82.7
"40","E06000040",81.1,84.6
"41","E06000041",81.6,84.5
"42","E06000042",78.7,82.5
"43","E06000043",78.7,83
"44","E06000044",78.2,82.6
"45","E06000045",78.5,82.7
"46","E06000046",80,83.5
"47","E06000047",77.9,81.5
"48","E06000048",78.8,82.5
"49","E06000049",80.4,83.4
"50","E06000050",79.2,82.8
"51","E06000051",79.8,83.8
"52","E06000052",79.5,83.5
"53","E06000054",80.4,83.9
"54","E06000055",79.3,83.1
"55","E06000056",80.5,84
"56","E07000004",79.9,83.9
"57","E07000005",82.1,85.8
"58","E07000006",81.5,84.7
"59","E07000007",81.3,84.2
"60","E07000008",79.9,84.5
"61","E07000009",81.5,85.3
"62","E07000010",79.1,82.8
"63","E07000011",80.9,84.4
"64","E07000012",82.8,85.9
"65","E07000026",78.2,81.9
"66","E07000027",77.1,81.4
"67","E07000028",78.5,82
"68","E07000029",77.6,81.4
"69","E07000030",80.3,84.1
"70","E07000031",80.9,83.4
"71","E07000032",79.2,83.3
"72","E07000033",77.9,82
"73","E07000034",77.7,82.3
"74","E07000035",81.1,84.3
"75","E07000036",79.8,83.6
"76","E07000037",80,83.4
"77","E07000038",79.7,83
"78","E07000039",79.4,83.3
"79","E07000040",81.4,84.5
"80","E07000041",79.9,83.4
"81","E07000042",80.3,84.9
"82","E07000043",79.7,83.4
"83","E07000044",81.3,84.7
"84","E07000045",80.1,84
"85","E07000046",80.1,83.2
"86","E07000047",79.9,84.5
"87","E07000048",82,85.3
"88","E07000049",82.9,86.5
"89","E07000050",81.5,85.5
"90","E07000051",80.8,86.6
"91","E07000052",81,85
"92","E07000053",78.6,83.1
"93","E07000061",78.7,83.5
"94","E07000062",77.5,81.2
"95","E07000063",80.9,84.8
"96","E07000064",80.1,83.9
"97","E07000065",81,84.2
"98","E07000066",79.5,82.9
"99","E07000067",79.6,83
"100","E07000068",81.4,84.4
"101","E07000069",79.9,82.8
"102","E07000070",80.7,84.3
"103","E07000071",79.7,83.4
"104","E07000072",80.2,83.8
"105","E07000073",78.2,82.4
"106","E07000074",80.6,83.4
"107","E07000075",81.2,84.6
"108","E07000076",78,81.9
"109","E07000077",81.8,85.1
"110","E07000078",80.6,84.3
"111","E07000079",81.2,85.8
"112","E07000080",79.7,83.8
"113","E07000081",78,83.4
"114","E07000082",80.5,83.5
"115","E07000083",80.2,84.1
"116","E07000084",80.8,83
"117","E07000085",81.2,84.2
"118","E07000086",81.6,84.9
"119","E07000087",80.9,83.9
"120","E07000088",79.1,82.3
"121","E07000089",82.9,85.6
"122","E07000090",79.6,83.4
"123","E07000091",81.9,85.2
"124","E07000092",79.1,82.9
"125","E07000093",80.8,84.6
"126","E07000094",82,85.9
"127","E07000095",80.7,84.4
"128","E07000096",80.3,84.5
"129","E07000097",81,84.1
"130","E07000098",80.7,83.5
"131","E07000099",79.9,82.8
"132","E07000100",81.7,85.3
"133","E07000101",79.6,82.6
"134","E07000102",80.3,84.5
"135","E07000103",79.2,82.3
"136","E07000104",80.1,83.6
"137","E07000105",81.3,84.4
"138","E07000106",80.2,83.4
"139","E07000107",79.1,81.7
"140","E07000108",79.2,82.3
"141","E07000109",79.6,83.4
"142","E07000110",79.9,83.4
"143","E07000111",81.5,84.4
"144","E07000112",79.3,83.6
"145","E07000113",79.3,82.7
"146","E07000114",77.6,82.5
"147","E07000115",80.6,84.4
"148","E07000116",81.4,85.1
"149","E07000117",75.7,80.5
"150","E07000118",79,81.9
"151","E07000119",79.1,82.8
"152","E07000120",76.5,81
"153","E07000121",77.4,82.2
"154","E07000122",77.9,81.7
"155","E07000123",77.4,81
"156","E07000124",80.5,84
"157","E07000125",77.6,81.6
"158","E07000126",80.1,82.8
"159","E07000127",78.7,82.5
"160","E07000128",78.2,81.8
"161","E07000129",80.7,84.6
"162","E07000130",79.6,83.6
"163","E07000131",80.3,84.8
"164","E07000132",80.2,84.5
"165","E07000133",80.2,83.7
"166","E07000134",79.4,83
"167","E07000135",80.1,84.1
"168","E07000136",78.8,82.5
"169","E07000137",77.8,81.8
"170","E07000138",77.7,81.8
"171","E07000139",80.7,83.3
"172","E07000140",79.6,83.4
"173","E07000141",80.1,84
"174","E07000142",79.4,83
"175","E07000143",80.1,83.3
"176","E07000144",81.4,84.1
"177","E07000145",78,82.2
"178","E07000146",79.6,84
"179","E07000147",80.5,85
"180","E07000148",78.9,83.9
"181","E07000149",81.3,84.3
"182","E07000150",77.3,80.2
"183","E07000151",79.5,83.5
"184","E07000152",80,83.1
"185","E07000153",79.2,82.7
"186","E07000154",77.4,81.8
"187","E07000155",82.2,84.4
"188","E07000156",80,83.7
"189","E07000163",80.6,84.6
"190","E07000164",81.3,85.5
"191","E07000165",80.6,83.8
"192","E07000166",80.2,83.1
"193","E07000167",80.7,83
"194","E07000168",77.9,82.2
"195","E07000169",79.4,83.5
"196","E07000170",77.6,81.7
"197","E07000171",78.6,82.1
"198","E07000172",80,83.6
"199","E07000173",80.5,83.1
"200","E07000174",78.3,82.1
"201","E07000175",79.3,82.7
"202","E07000176",80.9,84.4
"203","E07000177",80.1,83.7
"204","E07000178",78.9,83.1
"205","E07000179",81.1,84.6
"206","E07000180",81.4,84.5
"207","E07000181",80.7,83.7
"208","E07000187",80.5,84.2
"209","E07000188",80.6,84.1
"210","E07000189",80.9,84.4
"211","E07000190",79.8,83.8
"212","E07000191",79.4,83.8
"213","E07000192",78.7,82.9
"214","E07000193",78.5,82.9
"215","E07000194",79.9,82.9
"216","E07000195",78.9,82.3
"217","E07000196",80.1,83.2
"218","E07000197",80.3,83.6
"219","E07000198",79.6,83.5
"220","E07000199",79.4,83
"221","E07000200",81.9,84.5
"222","E07000201",79.8,84.8
"223","E07000202",79.3,83.4
"224","E07000203",81.7,84.9
"225","E07000204",81.5,84.2
"226","E07000205",80.6,83.9
"227","E07000206",79.4,83.6
"228","E07000207",81.6,84.5
"229","E07000208",82,85.5
"230","E07000209",82.1,85.3
"231","E07000210",81.7,85.2
"232","E07000211",80.8,84
"233","E07000212",81,84.4
"234","E07000213",80.1,83.4
"235","E07000214",81.1,84.1
"236","E07000215",80.7,84
"237","E07000216",81.9,85.1
"238","E07000217",80.5,84.4
"239","E07000218",78.7,82.3
"240","E07000219",78.2,82.6
"241","E07000220",80.2,83.7
"242","E07000221",81,84.9
"243","E07000222",80.4,84.7
"244","E07000223",80.3,83.3
"245","E07000224",79.7,83.5
"246","E07000225",81,84.6
"247","E07000226",79.4,83.6
"248","E07000227",81.5,84.4
"249","E07000228",81.9,84.2
"250","E07000229",78.8,82.9
"251","E07000234",80.4,83.5
"252","E07000235",80.4,83.4
"253","E07000236",78.9,82.9
"254","E07000237",78.8,83.3
"255","E07000238",80.7,84.6
"256","E07000239",79.2,83
"257","E08000001",77.4,81.4
"258","E08000002",78,81
"259","E08000003",74.8,79.5
"260","E08000004",77.1,81.1
"261","E08000005",76.8,80.8
"262","E08000006",76.1,80.5
"263","E08000007",79.8,83.1
"264","E08000008",76.3,80.6
"265","E08000009",79.6,83.7
"266","E08000010",77.4,80.8
"267","E08000011",76.6,80.7
"268","E08000012",76.1,80.2
"269","E08000013",78,81.6
"270","E08000014",77.5,82.8
"271","E08000015",77.9,81.9
"272","E08000016",77.8,81.5
"273","E08000017",77.5,81.7
"274","E08000018",78,81.6
"275","E08000019",78.7,82.4
"276","E08000020",77.2,81.3
"277","E08000021",77.5,81.4
"278","E08000022",78.1,82
"279","E08000023",76.8,81.2
"280","E08000024",77,80.7
"281","E08000025",77.6,82.1
"282","E08000026",78.1,82.1
"283","E08000027",78.9,83
"284","E08000028",76.8,81.3
"285","E08000029",80.7,84.6
