"area","const","margin","party","le","Party.Name","Lives.in.a.communal.establishment","Density","White..English.Welsh.Scottish.Northern.Irish.British","White..Irish","White..Gypsy.or.Irish.Traveller","White..Other.White","Mixed.multiple.ethnic.group..White.and.Black.Caribbean","Mixed.multiple.ethnic.group..White.and.Black.African","Mixed.multiple.ethnic.group..White.and.Asian","Mixed.multiple.ethnic.group..Other.Mixed","Asian.Asian.British..Indian","Asian.Asian.British..Pakistani","Asian.Asian.British..Bangladeshi","Asian.Asian.British..Chinese","Asian.Asian.British..Other.Asian","Black.African.Caribbean.Black.British..African","Black.African.Caribbean.Black.British..Caribbean","Black.African.Caribbean.Black.British..Other.Black","Other.ethnic.group..Arab","Other.ethnic.group..Any.other.ethnic.group","Dependent.children.in.household..All.ages","Single..never.married.or.never.registered.a.same.sex.civil.partnership.","Married","In.a.registered.same.sex.civil.partnership","Separated..but.still.legally.married.or.still.legally.in.a.same.sex.civil.partnership.","Divorced.or.formerly.in.a.same.sex.civil.partnership.which.is.now.legally.dissolved","Widowed.or.surviving.partner.from.a.same.sex.civil.partnership","Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Other.religion","No.religion","Religion.not.stated","Economically.active..Employee..Part.time","Economically.active..Employee..Full.time","Economically.active..Self.employed","Economically.active..Unemployed","Economically.active..Full.time.student","Economically.inactive..Retired","Economically.inactive..Student..including.full.time.students.","Economically.inactive..Looking.after.home.or.family","Economically.inactive..Long.term.sick.or.disabled","Economically.inactive..Other","Unemployed..Age.16.to.24","Unemployed..Age.50.to.74","Unemployed..Never.worked","Long.term.unemployed","Part.time..15.hours.or.less.worked","Part.time..16.to.30.hours.worked","Full.time..31.to.48.hours.worked","Full.time..49.or.more.hours.worked"
"E06000001","Hartlepool",14.41,"Labour Party",76.7,"(Labour)",1,9.8,96.6,0.2,0,0.8,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.1,0,0,0.1,0.1,29.9,34.4,44.7,0.2,2.4,10,8.4,8.6,23.7,57.4,10.4,0,0,0,0,0,15.1,33.9,5.7,7.8,2.7,15.9,4.6,4.9,7.1,2.4,2.4,1.3,1.5,3.1,8.6,23.7,57.4,10.4
"E06000002","Middlesbrough",25.98,"Labour Party",75.7,"(Labour)",1.6,25.7,86.1,0.4,0.1,1.7,0.4,0.3,0.7,0.3,1.1,4.9,0.2,0.7,1,1.1,0.1,0.1,0.7,0.4,31.2,39.4,41.4,0.1,2.7,8.8,7.5,10.5,24.7,55.5,9.4,0,0,0,0,0,15,31.1,5.1,7.6,4.4,13.8,7.4,5.5,6.8,3.2,2.3,1.3,1.7,3.1,10.5,24.7,55.5,9.4
"E06000002","Middlesbrough South and East Cleveland",3.63,"Labour Party",75.7,"(Labour)",1.6,25.7,86.1,0.4,0.1,1.7,0.4,0.3,0.7,0.3,1.1,4.9,0.2,0.7,1,1.1,0.1,0.1,0.7,0.4,31.2,39.4,41.4,0.1,2.7,8.8,7.5,10.5,24.7,55.5,9.4,0,0,0,0,0,15,31.1,5.1,7.6,4.4,13.8,7.4,5.5,6.8,3.2,2.3,1.3,1.7,3.1,10.5,24.7,55.5,9.4
"E06000003","Redcar",12.42,"Liberal Democrats",78.1,"(Liberal Democrat)",0.9,5.5,97.6,0.3,0.1,0.6,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0,0,0,0.1,28.2,31.9,47.5,0.1,2.3,9.8,8.4,9.8,23.1,56.2,10.9,0,0,0,0,0,15.4,33.6,5.9,6.6,2.5,19.4,4.2,4.4,5.9,2.1,2.1,1.2,1.2,2.7,9.8,23.1,56.2,10.9
"E06000003","Middlesbrough South and East Cleveland",3.63,"Labour Party",78.1,"(Labour)",0.9,5.5,97.6,0.3,0.1,0.6,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0,0,0,0.1,28.2,31.9,47.5,0.1,2.3,9.8,8.4,9.8,23.1,56.2,10.9,0,0,0,0,0,15.4,33.6,5.9,6.6,2.5,19.4,4.2,4.4,5.9,2.1,2.1,1.2,1.2,2.7,9.8,23.1,56.2,10.9
"E06000004","Stockton North",16.91,"Labour Party",77.8,"(Labour)",1.9,9.4,93.4,0.3,0.1,0.9,0.2,0.2,0.4,0.2,0.8,1.6,0.1,0.5,0.6,0.5,0,0.1,0.1,0.2,31.7,33.2,47.5,0.2,2.6,9.3,7.2,8.8,22.4,58,10.8,0,0,0,0,0,15.7,37.6,6.4,5.7,3,14.8,5.2,4.2,4.9,2.5,1.7,1,1,2.4,8.8,22.4,58,10.8
"E06000004","Stockton South",0.659999999999997,"Conservative and Unionist Party",77.8,"(Conservative)",1.9,9.4,93.4,0.3,0.1,0.9,0.2,0.2,0.4,0.2,0.8,1.6,0.1,0.5,0.6,0.5,0,0.1,0.1,0.2,31.7,33.2,47.5,0.2,2.6,9.3,7.2,8.8,22.4,58,10.8,0,0,0,0,0,15.7,37.6,6.4,5.7,3,14.8,5.2,4.2,4.9,2.5,1.7,1,1,2.4,8.8,22.4,58,10.8
"E06000005","Sedgefield",21.62,"Labour Party",78.1,"(Labour)",1.4,5.3,93.7,0.3,0.3,1.9,0.4,0.1,0.3,0.2,0.7,0.1,0.5,0.3,0.4,0.2,0.1,0,0.1,0.1,28.8,31.7,46.8,0.2,2.8,10.7,7.7,8.4,20.9,59.7,11,0,0,0,0,0,15.1,39.6,7.3,5.2,2.5,15.9,3.6,4,4.9,1.9,1.6,0.9,0.8,2.1,8.4,20.9,59.7,11
"E06000005","Darlington",7.9,"Labour Party",78.1,"(Labour)",1.4,5.3,93.7,0.3,0.3,1.9,0.4,0.1,0.3,0.2,0.7,0.1,0.5,0.3,0.4,0.2,0.1,0,0.1,0.1,28.8,31.7,46.8,0.2,2.8,10.7,7.7,8.4,20.9,59.7,11,0,0,0,0,0,15.1,39.6,7.3,5.2,2.5,15.9,3.6,4,4.9,1.9,1.6,0.9,0.8,2.1,8.4,20.9,59.7,11
"E06000006","Weaver Vale",2.25,"Conservative and Unionist Party",76.5,"(Conservative)",0.7,15.9,96.4,0.5,0,0.9,0.4,0.2,0.3,0.2,0.2,0,0,0.2,0.2,0.1,0.1,0,0,0.1,31.3,35.4,44.9,0.2,2.4,9.8,7.2,7.8,20.1,62.1,10,0,0,0,0,0,14.1,40.1,5.8,5.6,2.7,14.4,4.2,4.2,7,1.9,1.8,0.9,0.9,2.1,7.8,20.1,62.1,10
"E06000006","Halton",37.51,"Labour Party",76.5,"(Labour)",0.7,15.9,96.4,0.5,0,0.9,0.4,0.2,0.3,0.2,0.2,0,0,0.2,0.2,0.1,0.1,0,0,0.1,31.3,35.4,44.9,0.2,2.4,9.8,7.2,7.8,20.1,62.1,10,0,0,0,0,0,14.1,40.1,5.8,5.6,2.7,14.4,4.2,4.2,7,1.9,1.8,0.9,0.9,2.1,7.8,20.1,62.1,10
"E06000007","Warrington South",2.83,"Conservative and Unionist Party",77.7,"(Conservative)",1.7,11.2,92.9,0.7,0,2.3,0.3,0.2,0.3,0.2,0.9,0.6,0.1,0.4,0.5,0.2,0.1,0,0.1,0.1,30.9,31.4,49.7,0.1,2.4,9.4,7,8.5,19.3,60.6,11.5,0,0,0,0,0,14.6,42.7,7.8,4,3,14.8,3.6,3.3,4.1,2.1,1.2,0.8,0.4,1.5,8.5,19.3,60.6,11.5
"E06000007","Warrington North",15.31,"Labour Party",77.7,"(Labour)",1.7,11.2,92.9,0.7,0,2.3,0.3,0.2,0.3,0.2,0.9,0.6,0.1,0.4,0.5,0.2,0.1,0,0.1,0.1,30.9,31.4,49.7,0.1,2.4,9.4,7,8.5,19.3,60.6,11.5,0,0,0,0,0,14.6,42.7,7.8,4,3,14.8,3.6,3.3,4.1,2.1,1.2,0.8,0.4,1.5,8.5,19.3,60.6,11.5
"E06000008","Rossendale and Darwen",9.53,"Conservative and Unionist Party",75.9,"(Conservative)",1.1,10.8,66.5,0.5,0.1,2,0.2,0.1,0.7,0.2,13.4,12.1,1,0.5,1.1,0.4,0.1,0.1,0.4,0.4,35,33.6,47.6,0.2,3,9,6.6,8.5,22.9,60.2,8.4,0,0,0,0,0,13.9,34.1,7.7,5.3,3.2,12.7,5.8,6.8,7.1,3.5,1.6,0.8,1,2.1,8.5,22.9,60.2,8.4
"E06000008","Blackburn",21.67,"Labour Party",75.9,"(Independent)",1.1,10.8,66.5,0.5,0.1,2,0.2,0.1,0.7,0.2,13.4,12.1,1,0.5,1.1,0.4,0.1,0.1,0.4,0.4,35,33.6,47.6,0.2,3,9,6.6,8.5,22.9,60.2,8.4,0,0,0,0,0,13.9,34.1,7.7,5.3,3.2,12.7,5.8,6.8,7.1,3.5,1.6,0.8,1,2.1,8.5,22.9,60.2,8.4
"E06000009","Blackpool South",5.26000000000001,"Labour Party",73.4,"(Labour)",2.9,40.7,93.6,0.7,0.2,2.1,0.5,0.2,0.3,0.2,0.4,0.2,0.2,0.4,0.5,0.1,0.1,0,0.1,0.1,26.3,35.3,39,0.5,3.2,13.1,8.9,8.2,23.5,57.6,10.6,0,0,0,0,0,14.3,33,9.6,6.1,3.1,16.2,3.7,3.8,7.9,2.4,1.8,1,0.8,2.5,8.2,23.5,57.6,10.6
"E06000009","Blackpool North and Cleveleys",5.29,"Conservative and Unionist Party",73.4,"(Conservative)",2.9,40.7,93.6,0.7,0.2,2.1,0.5,0.2,0.3,0.2,0.4,0.2,0.2,0.4,0.5,0.1,0.1,0,0.1,0.1,26.3,35.3,39,0.5,3.2,13.1,8.9,8.2,23.5,57.6,10.6,0,0,0,0,0,14.3,33,9.6,6.1,3.1,16.2,3.7,3.8,7.9,2.4,1.8,1,0.8,2.5,8.2,23.5,57.6,10.6
"E06000010","Kingston upon Hull West and Hessle",18.22,"Labour Party",76.2,"(Labour)",1.4,35.9,89.7,0.2,0.1,4.1,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.8,0.6,1,0.1,0.1,0.4,0.4,28.4,42.1,37.5,0.2,3,10.3,6.8,9,22.5,59.4,9.2,0,0,0,0,0,14.7,35.7,5.1,8,3.6,12.1,6.9,5,6,2.7,2.3,1.2,1.4,3.7,9,22.5,59.4,9.2
"E06000010","Kingston upon Hull North",1.92,"Labour Party",76.2,"(Labour)",1.4,35.9,89.7,0.2,0.1,4.1,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.8,0.6,1,0.1,0.1,0.4,0.4,28.4,42.1,37.5,0.2,3,10.3,6.8,9,22.5,59.4,9.2,0,0,0,0,0,14.7,35.7,5.1,8,3.6,12.1,6.9,5,6,2.7,2.3,1.2,1.4,3.7,9,22.5,59.4,9.2
"E06000010","Kingston upon Hull East",25.15,"Labour Party",76.2,"(Labour)",1.4,35.9,89.7,0.2,0.1,4.1,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.8,0.6,1,0.1,0.1,0.4,0.4,28.4,42.1,37.5,0.2,3,10.3,6.8,9,22.5,59.4,9.2,0,0,0,0,0,14.7,35.7,5.1,8,3.6,12.1,6.9,5,6,2.7,2.3,1.2,1.4,3.7,9,22.5,59.4,9.2
"E06000011","Beverley and Holderness",24.41,"Conservative and Unionist Party",79.2,"(Conservative)",2.2,1.4,96.1,0.3,0.1,1.6,0.2,0.1,0.2,0.1,0.3,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.1,26.5,26.1,54.2,0.2,2.2,9.2,8,10.3,20.7,54.3,14.7,0,0,0,0,0,15.4,37,10.1,3.6,2.7,19.5,3.7,3.2,3.1,1.7,1,0.8,0.4,1.4,10.3,20.7,54.3,14.7
"E06000011","East Yorkshire",26.32,"Conservative and Unionist Party",79.2,"(Conservative)",2.2,1.4,96.1,0.3,0.1,1.6,0.2,0.1,0.2,0.1,0.3,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.1,26.5,26.1,54.2,0.2,2.2,9.2,8,10.3,20.7,54.3,14.7,0,0,0,0,0,15.4,37,10.1,3.6,2.7,19.5,3.7,3.2,3.1,1.7,1,0.8,0.4,1.4,10.3,20.7,54.3,14.7
"E06000011","Brigg and Goole",11.74,"Conservative and Unionist Party",79.2,"(Conservative)",2.2,1.4,96.1,0.3,0.1,1.6,0.2,0.1,0.2,0.1,0.3,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.1,26.5,26.1,54.2,0.2,2.2,9.2,8,10.3,20.7,54.3,14.7,0,0,0,0,0,15.4,37,10.1,3.6,2.7,19.5,3.7,3.2,3.1,1.7,1,0.8,0.4,1.4,10.3,20.7,54.3,14.7
